time,cwnd
2020-10-14 15:38:52.087846,3
2020-10-14 15:38:52.208082,3
2020-10-14 15:38:52.331886,3
2020-10-14 15:38:52.451580,3
2020-10-14 15:38:52.567803,3
2020-10-14 15:38:53.411270,3
2020-10-14 15:38:53.530471,3
2020-10-14 15:38:53.646712,3
2020-10-14 15:38:53.764831,3
2020-10-14 15:38:53.883816,3
2020-10-14 15:38:54.008114,3
2020-10-14 15:38:54.846114,3
2020-10-14 15:38:54.846114,3
2020-10-14 15:38:54.965364,3
2020-10-14 15:38:54.965364,3
2020-10-14 15:38:55.085354,3
2020-10-14 15:38:55.085354,3
2020-10-14 15:38:55.204599,3
2020-10-14 15:38:55.204599,3
2020-10-14 15:38:55.324927,3
2020-10-14 15:38:55.324927,3
2020-10-14 15:38:55.443825,3
2020-10-14 15:38:55.443825,6
2020-10-14 15:38:55.567126,3
2020-10-14 15:38:55.567126,6
2020-10-14 15:38:55.683099,3
2020-10-14 15:38:55.683099,6
2020-10-14 15:38:55.803146,3
2020-10-14 15:38:55.803146,6
2020-10-14 15:38:55.925331,6
2020-10-14 15:38:56.044344,9
2020-10-14 15:38:56.164613,12
2020-10-14 15:38:56.287976,12
2020-10-14 15:38:56.406314,12
2020-10-14 15:38:56.524208,12
2020-10-14 15:38:56.644815,15
2020-10-14 15:38:56.764095,18
2020-10-14 15:38:56.884416,21
2020-10-14 15:38:57.005441,24
2020-10-14 15:38:57.124720,24
2020-10-14 15:38:57.243350,27
2020-10-14 15:38:57.362303,30
2020-10-14 15:38:57.482193,34
2020-10-14 15:38:57.600702,34
2020-10-14 15:38:57.719904,34
2020-10-14 15:38:57.840719,34
2020-10-14 15:38:57.963952,34
2020-10-14 15:38:58.083324,34
2020-10-14 15:38:58.203172,34
2020-10-14 15:38:58.319404,35
2020-10-14 15:38:58.442524,35
2020-10-14 15:38:58.563948,35
2020-10-14 15:38:58.681984,35
2020-10-14 15:38:58.798113,35
2020-10-14 15:38:58.917191,36
2020-10-14 15:38:59.039059,36
2020-10-14 15:38:59.157766,36
2020-10-14 15:38:59.279911,37
2020-10-14 15:38:59.395652,37
2020-10-14 15:38:59.514486,38
2020-10-14 15:38:59.638047,38
2020-10-14 15:38:59.753536,39
2020-10-14 15:38:59.872805,39
2020-10-14 15:38:59.995815,40
2020-10-14 15:39:00.118238,41
2020-10-14 15:39:00.236589,42
2020-10-14 15:39:00.355914,43
2020-10-14 15:39:00.478934,44
2020-10-14 15:39:00.599279,45
2020-10-14 15:39:00.718696,46
2020-10-14 15:39:00.836719,48
2020-10-14 15:39:00.956436,50
2020-10-14 15:39:01.079341,52
2020-10-14 15:39:01.199166,54
2020-10-14 15:39:01.315890,56
2020-10-14 15:39:01.436570,58
2020-10-14 15:39:01.555948,60
2020-10-14 15:39:01.676171,61
2020-10-14 15:39:01.796272,64
2020-10-14 15:39:01.918950,66
2020-10-14 15:39:02.037449,69
2020-10-14 15:39:02.157002,71
2020-10-14 15:39:02.280144,72
2020-10-14 15:39:02.397908,74
2020-10-14 15:39:02.514308,76
2020-10-14 15:39:02.632230,79
2020-10-14 15:39:02.756491,86
2020-10-14 15:39:02.879685,90
2020-10-14 15:39:02.997887,94
2020-10-14 15:39:03.118729,98
2020-10-14 15:39:03.235943,102
2020-10-14 15:39:03.356413,106
2020-10-14 15:39:03.479152,110
2020-10-14 15:39:03.598863,114
2020-10-14 15:39:03.715114,119
2020-10-14 15:39:03.835152,124
2020-10-14 15:39:03.954429,129
2020-10-14 15:39:04.073166,134
2020-10-14 15:39:04.192099,141
2020-10-14 15:39:04.312196,146
2020-10-14 15:39:04.433924,152
2020-10-14 15:39:04.549535,156
2020-10-14 15:39:04.667869,165
2020-10-14 15:39:04.786700,172
2020-10-14 15:39:04.911054,179
2020-10-14 15:39:05.031118,186
2020-10-14 15:39:05.149712,192
2020-10-14 15:39:05.266464,201
2020-10-14 15:39:05.384445,208
2020-10-14 15:39:05.504193,214
2020-10-14 15:39:05.623861,224
2020-10-14 15:39:05.744769,231
2020-10-14 15:39:05.865117,242
2020-10-14 15:39:05.989520,251
2020-10-14 15:39:06.106694,261
2020-10-14 15:39:06.225677,269
2020-10-14 15:39:06.344425,280
2020-10-14 15:39:06.459149,289
2020-10-14 15:39:06.579602,297
2020-10-14 15:39:06.698877,308
2020-10-14 15:39:06.816476,318
2020-10-14 15:39:06.936052,329
2020-10-14 15:39:07.057586,343
2020-10-14 15:39:07.176617,353
2020-10-14 15:39:07.291833,363
2020-10-14 15:39:07.412791,374
2020-10-14 15:39:07.534174,385
2020-10-14 15:39:07.649794,397
2020-10-14 15:39:07.768213,410
2020-10-14 15:39:07.891084,434
2020-10-14 15:39:08.006504,457
2020-10-14 15:39:08.125994,476
2020-10-14 15:39:08.244055,494
2020-10-14 15:39:08.365800,511
2020-10-14 15:39:08.480858,525
2020-10-14 15:39:08.603634,537
2020-10-14 15:39:08.721702,555
2020-10-14 15:39:08.837205,577
2020-10-14 15:39:08.956411,592
2020-10-14 15:39:09.077689,611
2020-10-14 15:39:09.192773,626
2020-10-14 15:39:09.310148,642
2020-10-14 15:39:09.427620,657
2020-10-14 15:39:09.544963,673
2020-10-14 15:39:09.667551,695
2020-10-14 15:39:09.789714,730
2020-10-14 15:39:09.910181,750
2020-10-14 15:39:10.026577,780
2020-10-14 15:39:10.145131,812
2020-10-14 15:39:10.265042,836
2020-10-14 15:39:10.385604,862
2020-10-14 15:39:10.500875,884
2020-10-14 15:39:10.626692,915
2020-10-14 15:39:10.742427,941
2020-10-14 15:39:10.863956,966
2020-10-14 15:39:10.981609,988
2020-10-14 15:39:11.096497,1003
2020-10-14 15:39:11.217540,1029
