time,cwnd
2020-10-14 13:39:29.464226,11925
2020-10-14 13:39:29.583808,11925
2020-10-14 13:39:29.702150,11925
2020-10-14 13:39:29.821004,11925
2020-10-14 13:39:29.940769,11925
2020-10-14 13:39:30.780183,3
2020-10-14 13:39:30.900037,3
2020-10-14 13:39:31.020379,3
2020-10-14 13:39:31.140644,3
2020-10-14 13:39:31.260561,3
2020-10-14 13:39:31.375995,3
2020-10-14 13:39:32.210602,3
2020-10-14 13:39:32.210602,11925
2020-10-14 13:39:32.329556,3
2020-10-14 13:39:32.329556,11925
2020-10-14 13:39:32.450213,3
2020-10-14 13:39:32.450213,11925
2020-10-14 13:39:32.568246,3
2020-10-14 13:39:32.568246,11925
2020-10-14 13:39:32.688633,3
2020-10-14 13:39:32.688633,11925
2020-10-14 13:39:32.808869,3
2020-10-14 13:39:32.808869,6
2020-10-14 13:39:32.929597,3
2020-10-14 13:39:32.929597,6
2020-10-14 13:39:33.048136,3
2020-10-14 13:39:33.048136,6
2020-10-14 13:39:33.168666,3
2020-10-14 13:39:33.168666,6
2020-10-14 13:39:33.288120,3
2020-10-14 13:39:33.288120,6
2020-10-14 13:39:33.408637,9
2020-10-14 13:39:33.528035,12
2020-10-14 13:39:33.649405,12
2020-10-14 13:39:33.770423,12
2020-10-14 13:39:33.890031,12
2020-10-14 13:39:34.009142,16
2020-10-14 13:39:34.128948,21
2020-10-14 13:39:34.248689,24
2020-10-14 13:39:34.368534,24
2020-10-14 13:39:34.488497,24
2020-10-14 13:39:34.608629,27
2020-10-14 13:39:34.728572,32
2020-10-14 13:39:34.848561,38
2020-10-14 13:39:34.968122,40
2020-10-14 13:39:35.086274,45
2020-10-14 13:39:35.209833,52
2020-10-14 13:39:35.325499,56
2020-10-14 13:39:35.445070,61
2020-10-14 13:39:35.563965,66
2020-10-14 13:39:35.684220,70
2020-10-14 13:39:35.803661,73
2020-10-14 13:39:35.923965,77
2020-10-14 13:39:36.042021,80
2020-10-14 13:39:36.160741,84
2020-10-14 13:39:36.279942,89
2020-10-14 13:39:36.403186,92
2020-10-14 13:39:36.520433,96
2020-10-14 13:39:36.640550,100
2020-10-14 13:39:36.758629,109
2020-10-14 13:39:36.876679,123
2020-10-14 13:39:36.996625,135
2020-10-14 13:39:37.113709,145
2020-10-14 13:39:37.237740,160
2020-10-14 13:39:37.353304,173
2020-10-14 13:39:37.473868,182
2020-10-14 13:39:37.588759,194
2020-10-14 13:39:37.706797,209
2020-10-14 13:39:37.825153,224
2020-10-14 13:39:37.943183,238
2020-10-14 13:39:38.062929,255
2020-10-14 13:39:38.185310,270
2020-10-14 13:39:38.300876,280
2020-10-14 13:39:38.420252,298
2020-10-14 13:39:38.538476,314
2020-10-14 13:39:38.656629,338
2020-10-14 13:39:38.775349,362
2020-10-14 13:39:38.895739,387
2020-10-14 13:39:39.017951,422
2020-10-14 13:39:39.136461,455
2020-10-14 13:39:39.253894,495
2020-10-14 13:39:39.373815,564
2020-10-14 13:39:39.492175,624
2020-10-14 13:39:39.612049,670
2020-10-14 13:39:39.732606,716
2020-10-14 13:39:39.852806,764
2020-10-14 13:39:39.972975,818
2020-10-14 13:39:40.093083,850
2020-10-14 13:39:40.213183,897
2020-10-14 13:39:40.330830,946
2020-10-14 13:39:40.450468,991
2020-10-14 13:39:40.569726,1085
2020-10-14 13:39:40.688312,1216
2020-10-14 13:39:40.809137,1347
2020-10-14 13:39:40.928132,1456
2020-10-14 13:39:41.049106,1597
2020-10-14 13:39:41.166136,1714
2020-10-14 13:39:41.284547,1880
2020-10-14 13:39:41.401335,2027
2020-10-14 13:39:41.525842,2187
2020-10-14 13:39:41.640786,2356
2020-10-14 13:39:41.764010,2540
2020-10-14 13:39:41.881046,2696
2020-10-14 13:39:41.998509,2820
2020-10-14 13:39:42.118525,2938
2020-10-14 13:39:42.237567,3051
2020-10-14 13:39:42.356220,3176
2020-10-14 13:39:42.474789,3494
2020-10-14 13:39:42.596315,3953
2020-10-14 13:39:42.710767,4394
2020-10-14 13:39:42.830385,4853
2020-10-14 13:39:42.948846,5317
2020-10-14 13:39:43.068638,5763
2020-10-14 13:39:43.187797,6280
2020-10-14 13:39:43.307808,6858
2020-10-14 13:39:43.429248,7387
2020-10-14 13:39:43.550091,7940
2020-10-14 13:39:43.669924,8498
2020-10-14 13:39:43.786575,8944
2020-10-14 13:39:43.907219,9326
2020-10-14 13:39:44.026550,9722
2020-10-14 13:39:44.144793,10101
2020-10-14 13:39:44.262843,10499
2020-10-14 13:39:44.385738,11834
2020-10-14 13:39:44.505001,12009
2020-10-14 13:39:44.625842,12097
2020-10-14 13:39:44.745485,12183
2020-10-14 13:39:44.868149,12202
2020-10-14 13:39:44.985487,12219
2020-10-14 13:39:45.105293,12236
2020-10-14 13:39:45.224043,12261
2020-10-14 13:39:45.344759,12297
2020-10-14 13:39:45.461353,12320
2020-10-14 13:39:45.578709,12356
2020-10-14 13:39:45.698135,12382
2020-10-14 13:39:45.816847,12417
2020-10-14 13:39:45.937184,12447
2020-10-14 13:39:46.055233,12465
2020-10-14 13:39:46.174742,12484
2020-10-14 13:39:46.296609,12517
2020-10-14 13:39:46.414261,12268
2020-10-14 13:39:46.533790,12179
2020-10-14 13:39:46.654012,11845
2020-10-14 13:39:46.774542,11560
2020-10-14 13:39:46.895578,11329
2020-10-14 13:39:47.017483,11149
2020-10-14 13:39:47.136045,10966
2020-10-14 13:39:47.254341,10846
2020-10-14 13:39:47.378130,10660
2020-10-14 13:39:47.493528,10457
2020-10-14 13:39:47.617505,10032
2020-10-14 13:39:47.734572,9781
2020-10-14 13:39:47.856019,9542
2020-10-14 13:39:47.973616,9297
2020-10-14 13:39:48.093498,9040
2020-10-14 13:39:48.215915,8769
2020-10-14 13:39:48.337377,8769
2020-10-14 13:39:48.456794,8769
2020-10-14 13:39:48.576132,8769
2020-10-14 13:39:48.698013,8769
2020-10-14 13:39:48.817352,8769
2020-10-14 13:39:48.935869,8241
2020-10-14 13:39:49.055635,7918
2020-10-14 13:39:49.177640,7730
