time,cwnd
2020-10-10 12:36:18.678097,23
2020-10-10 12:36:18.794276,23
2020-10-10 12:36:18.912797,23
2020-10-10 12:36:19.032225,23
2020-10-10 12:36:19.153087,23
2020-10-10 12:36:19.991146,23
2020-10-10 12:36:20.110521,23
2020-10-10 12:36:20.229265,23
2020-10-10 12:36:20.348423,23
2020-10-10 12:36:20.470541,23
2020-10-10 12:36:20.585981,23
2020-10-10 12:36:21.421318,23
2020-10-10 12:36:21.421318,23
2020-10-10 12:36:21.540726,23
2020-10-10 12:36:21.540726,23
2020-10-10 12:36:21.660317,23
2020-10-10 12:36:21.660317,23
2020-10-10 12:36:21.780919,23
2020-10-10 12:36:21.780919,23
2020-10-10 12:36:21.901341,23
2020-10-10 12:36:21.901341,23
2020-10-10 12:36:22.020599,4511
2020-10-10 12:36:22.020599,23
2020-10-10 12:36:22.140574,4511
2020-10-10 12:36:22.140574,23
2020-10-10 12:36:22.261995,4511
2020-10-10 12:36:22.261995,23
2020-10-10 12:36:22.380855,4511
2020-10-10 12:36:22.380855,23
2020-10-10 12:36:22.500318,4511
2020-10-10 12:36:22.500318,23
2020-10-10 12:36:22.620982,4511
2020-10-10 12:36:22.740423,4511
2020-10-10 12:36:22.858992,4511
2020-10-10 12:36:22.978172,4511
2020-10-10 12:36:23.097698,4511
2020-10-10 12:36:23.218414,4511
2020-10-10 12:36:23.337179,4511
2020-10-10 12:36:23.457313,4511
2020-10-10 12:36:23.577450,4511
2020-10-10 12:36:23.697250,4511
2020-10-10 12:36:23.816585,4511
2020-10-10 12:36:23.936262,4511
2020-10-10 12:36:24.056955,4511
2020-10-10 12:36:24.176596,4511
2020-10-10 12:36:24.296036,4511
2020-10-10 12:36:24.419709,4511
2020-10-10 12:36:24.538601,4511
2020-10-10 12:36:24.654693,4511
2020-10-10 12:36:24.773333,4511
2020-10-10 12:36:24.892974,4511
2020-10-10 12:36:25.012746,4511
2020-10-10 12:36:25.132267,4511
2020-10-10 12:36:25.253033,4511
2020-10-10 12:36:25.372518,4511
2020-10-10 12:36:25.492236,4511
2020-10-10 12:36:25.615828,4511
2020-10-10 12:36:25.731813,4511
2020-10-10 12:36:25.854497,4511
2020-10-10 12:36:25.973993,4511
2020-10-10 12:36:26.089855,4511
2020-10-10 12:36:26.209221,4511
2020-10-10 12:36:26.330205,4511
2020-10-10 12:36:26.449354,4511
2020-10-10 12:36:26.569180,4511
2020-10-10 12:36:26.691718,4511
2020-10-10 12:36:26.812964,4511
2020-10-10 12:36:26.936481,4511
2020-10-10 12:36:27.055966,4511
2020-10-10 12:36:27.176174,4511
2020-10-10 12:36:27.296147,4511
2020-10-10 12:36:27.417034,4511
2020-10-10 12:36:27.538375,4514
2020-10-10 12:36:27.657114,4521
2020-10-10 12:36:27.776855,4527
2020-10-10 12:36:27.896482,4542
2020-10-10 12:36:28.018447,4573
2020-10-10 12:36:28.137252,4604
2020-10-10 12:36:28.256854,4634
2020-10-10 12:36:28.377462,4665
2020-10-10 12:36:28.496546,4695
2020-10-10 12:36:28.616136,4722
2020-10-10 12:36:28.738032,4742
2020-10-10 12:36:28.850341,4764
2020-10-10 12:36:28.975586,4782
2020-10-10 12:36:29.094102,4803
2020-10-10 12:36:29.208845,4819
2020-10-10 12:36:29.329144,4831
2020-10-10 12:36:29.447348,4847
2020-10-10 12:36:29.567550,4860
2020-10-10 12:36:29.688435,4877
2020-10-10 12:36:29.809282,4885
2020-10-10 12:36:29.930443,4895
2020-10-10 12:36:30.045485,4902
2020-10-10 12:36:30.162132,4913
2020-10-10 12:36:30.280263,4928
2020-10-10 12:36:30.402203,4941
2020-10-10 12:36:30.522049,4950
2020-10-10 12:36:30.637797,4957
2020-10-10 12:36:30.752510,4968
2020-10-10 12:36:30.872328,4978
2020-10-10 12:36:30.992686,4994
2020-10-10 12:36:31.115511,5010
2020-10-10 12:36:31.235725,5026
2020-10-10 12:36:31.352165,5041
2020-10-10 12:36:31.472267,5057
2020-10-10 12:36:31.589002,5072
2020-10-10 12:36:31.706886,5087
2020-10-10 12:36:31.825431,5102
2020-10-10 12:36:31.944898,5115
2020-10-10 12:36:32.067683,5128
2020-10-10 12:36:32.185995,5142
2020-10-10 12:36:32.301786,5155
2020-10-10 12:36:32.421988,5172
2020-10-10 12:36:32.539374,5198
2020-10-10 12:36:32.657875,5223
2020-10-10 12:36:32.775131,5247
2020-10-10 12:36:32.898392,5271
2020-10-10 12:36:33.013253,5294
2020-10-10 12:36:33.132338,5307
2020-10-10 12:36:33.254240,5314
2020-10-10 12:36:33.369473,5323
2020-10-10 12:36:33.490728,5337
2020-10-10 12:36:33.606069,5359
2020-10-10 12:36:33.726692,5372
2020-10-10 12:36:33.847434,5391
2020-10-10 12:36:33.968641,5408
2020-10-10 12:36:34.085650,5425
2020-10-10 12:36:34.205345,5432
2020-10-10 12:36:34.324332,5444
2020-10-10 12:36:34.447957,5453
2020-10-10 12:36:34.569184,5461
2020-10-10 12:36:34.692582,5467
2020-10-10 12:36:34.809244,5474
2020-10-10 12:36:34.929281,5484
2020-10-10 12:36:35.053900,5490
2020-10-10 12:36:35.170928,5499
2020-10-10 12:36:35.289861,5509
2020-10-10 12:36:35.409480,5520
2020-10-10 12:36:35.528618,5527
2020-10-10 12:36:35.652289,5538
2020-10-10 12:36:35.772828,5551
2020-10-10 12:36:35.890664,5562
2020-10-10 12:36:36.011764,5574
2020-10-10 12:36:36.132515,5586
2020-10-10 12:36:36.253224,5596
2020-10-10 12:36:36.372597,5606
2020-10-10 12:36:36.492907,5614
2020-10-10 12:36:36.612639,5622
2020-10-10 12:36:36.732620,5629
2020-10-10 12:36:36.852346,5635
2020-10-10 12:36:36.974122,5641
2020-10-10 12:36:37.093083,5644
2020-10-10 12:36:37.212552,5650
2020-10-10 12:36:37.332168,5656
2020-10-10 12:36:37.451773,5662
2020-10-10 12:36:37.569802,5667
2020-10-10 12:36:37.687908,5672
2020-10-10 12:36:37.810052,5677
2020-10-10 12:36:37.929209,5683
2020-10-10 12:36:38.046949,5686
2020-10-10 12:36:38.164754,5689
2020-10-10 12:36:38.284484,5692
2020-10-10 12:36:38.403664,5699
2020-10-10 12:36:38.522105,5701
2020-10-10 12:36:38.642273,5707
2020-10-10 12:36:38.761213,5711
2020-10-10 12:36:38.880647,5717
2020-10-10 12:36:39.002487,5723
2020-10-10 12:36:39.123142,5728
2020-10-10 12:36:39.243075,5734
2020-10-10 12:36:39.362431,5743
2020-10-10 12:36:39.480842,5747
2020-10-10 12:36:39.601023,5755
2020-10-10 12:36:39.720155,5761
2020-10-10 12:36:39.844768,5767
2020-10-10 12:36:39.964597,5773
2020-10-10 12:36:40.086355,5780
