time,cwnd
2020-10-07 14:40:44.802271,20
2020-10-07 14:40:44.920264,20
2020-10-07 14:40:45.040746,20
2020-10-07 14:40:45.158928,20
2020-10-07 14:40:45.278468,20
2020-10-07 14:40:46.115014,20
2020-10-07 14:40:46.239168,20
2020-10-07 14:40:46.358913,20
2020-10-07 14:40:46.478236,20
2020-10-07 14:40:46.601641,20
2020-10-07 14:40:46.717456,20
2020-10-07 14:40:47.434398,20
2020-10-07 14:40:47.434398,20
2020-10-07 14:40:47.554484,20
2020-10-07 14:40:47.554484,20
2020-10-07 14:40:47.672862,20
2020-10-07 14:40:47.672862,20
2020-10-07 14:40:47.791565,20
2020-10-07 14:40:47.791565,20
2020-10-07 14:40:47.912377,20
2020-10-07 14:40:47.912377,20
2020-10-07 14:40:48.033863,20
2020-10-07 14:40:48.033863,20
2020-10-07 14:40:48.154294,23
2020-10-07 14:40:48.154294,20
2020-10-07 14:40:48.275034,30
2020-10-07 14:40:48.275034,20
2020-10-07 14:40:48.394280,40
2020-10-07 14:40:48.394280,20
2020-10-07 14:40:48.514472,40
2020-10-07 14:40:48.514472,20
2020-10-07 14:40:48.632573,40
2020-10-07 14:40:48.751534,44
2020-10-07 14:40:48.874896,47
2020-10-07 14:40:48.991026,53
2020-10-07 14:40:49.110233,58
2020-10-07 14:40:49.228437,60
2020-10-07 14:40:49.348123,62
2020-10-07 14:40:49.467595,64
2020-10-07 14:40:49.590899,68
2020-10-07 14:40:49.710728,72
2020-10-07 14:40:49.826972,77
2020-10-07 14:40:49.946635,83
2020-10-07 14:40:50.067878,86
2020-10-07 14:40:50.187513,96
2020-10-07 14:40:50.310750,107
2020-10-07 14:40:50.431073,119
2020-10-07 14:40:50.551475,131
2020-10-07 14:40:50.664802,140
2020-10-07 14:40:50.786717,151
2020-10-07 14:40:50.911552,162
2020-10-07 14:40:51.024588,170
2020-10-07 14:40:51.148592,181
2020-10-07 14:40:51.269935,193
2020-10-07 14:40:51.388499,207
2020-10-07 14:40:51.505799,223
2020-10-07 14:40:51.625707,237
2020-10-07 14:40:51.749172,247
2020-10-07 14:40:51.865877,260
2020-10-07 14:40:51.984557,273
2020-10-07 14:40:52.105280,295
2020-10-07 14:40:52.224865,322
