time,cwnd
2020-10-07 14:56:10.848122,5
2020-10-07 14:56:10.970464,5
2020-10-07 14:56:11.087493,5
2020-10-07 14:56:11.207089,5
2020-10-07 14:56:11.327933,5
2020-10-07 14:56:12.168209,5
2020-10-07 14:56:12.286260,5
2020-10-07 14:56:12.405212,5
2020-10-07 14:56:12.523851,5
2020-10-07 14:56:12.647041,5
2020-10-07 14:56:12.763078,5
2020-10-07 14:56:13.601498,5
2020-10-07 14:56:13.601498,5
2020-10-07 14:56:13.720275,5
2020-10-07 14:56:13.720275,5
2020-10-07 14:56:13.843045,5
2020-10-07 14:56:13.843045,5
2020-10-07 14:56:13.957749,5
2020-10-07 14:56:13.957749,5
2020-10-07 14:56:14.074882,5
2020-10-07 14:56:14.074882,5
2020-10-07 14:56:14.196525,5
2020-10-07 14:56:14.196525,8
2020-10-07 14:56:14.317221,5
2020-10-07 14:56:14.317221,10
2020-10-07 14:56:14.438752,5
2020-10-07 14:56:14.438752,10
2020-10-07 14:56:14.556869,5
2020-10-07 14:56:14.556869,10
2020-10-07 14:56:14.675697,10
2020-10-07 14:56:14.798854,13
2020-10-07 14:56:14.914797,17
2020-10-07 14:56:15.034736,20
2020-10-07 14:56:15.154087,20
2020-10-07 14:56:15.274540,20
2020-10-07 14:56:15.394155,24
2020-10-07 14:56:15.515183,28
2020-10-07 14:56:15.634846,31
2020-10-07 14:56:15.759152,36
2020-10-07 14:56:15.874902,40
2020-10-07 14:56:15.995710,46
2020-10-07 14:56:16.119235,51
2020-10-07 14:56:16.235144,55
2020-10-07 14:56:16.355201,60
2020-10-07 14:56:16.478890,64
2020-10-07 14:56:16.595072,67
2020-10-07 14:56:16.718871,71
2020-10-07 14:56:16.834856,76
2020-10-07 14:56:16.954971,80
2020-10-07 14:56:17.075040,84
2020-10-07 14:56:17.195666,89
2020-10-07 14:56:17.317669,96
2020-10-07 14:56:17.433168,101
2020-10-07 14:56:17.553481,110
2020-10-07 14:56:17.675003,124
2020-10-07 14:56:17.793571,134
2020-10-07 14:56:17.909144,149
2020-10-07 14:56:18.025081,156
2020-10-07 14:56:18.145268,164
2020-10-07 14:56:18.263962,178
2020-10-07 14:56:18.383023,193
2020-10-07 14:56:18.502063,205
2020-10-07 14:56:18.619506,218
2020-10-07 14:56:18.738847,232
2020-10-07 14:56:18.860157,252
2020-10-07 14:56:18.980945,270
2020-10-07 14:56:19.096535,285
2020-10-07 14:56:19.217678,298
2020-10-07 14:56:19.334892,320
2020-10-07 14:56:19.454631,358
2020-10-07 14:56:19.580564,392
2020-10-07 14:56:19.694911,423
2020-10-07 14:56:19.819222,453
2020-10-07 14:56:19.934207,490
2020-10-07 14:56:20.052695,525
2020-10-07 14:56:20.174768,556
2020-10-07 14:56:20.291002,581
2020-10-07 14:56:20.413507,624
2020-10-07 14:56:20.529159,669
2020-10-07 14:56:20.650983,716
2020-10-07 14:56:20.770876,783
2020-10-07 14:56:20.886178,847
2020-10-07 14:56:21.004778,912
2020-10-07 14:56:21.123499,981
2020-10-07 14:56:21.241260,1041
2020-10-07 14:56:21.361622,1137
2020-10-07 14:56:21.477590,1233
2020-10-07 14:56:21.596248,1341
2020-10-07 14:56:21.717235,1472
2020-10-07 14:56:21.833072,1606
2020-10-07 14:56:21.953838,1738
2020-10-07 14:56:22.072372,1866
2020-10-07 14:56:22.192463,1988
2020-10-07 14:56:22.310415,2146
2020-10-07 14:56:22.431633,2288
2020-10-07 14:56:22.552683,2448
2020-10-07 14:56:22.672359,2657
2020-10-07 14:56:22.792983,2872
2020-10-07 14:56:22.912506,3112
2020-10-07 14:56:23.029788,3331
2020-10-07 14:56:23.150320,3584
2020-10-07 14:56:23.267515,3832
2020-10-07 14:56:23.388779,4157
2020-10-07 14:56:23.506764,4484
2020-10-07 14:56:23.630403,4859
2020-10-07 14:56:23.746719,5220
2020-10-07 14:56:23.865152,5604
2020-10-07 14:56:23.985935,6020
2020-10-07 14:56:24.108297,6453
2020-10-07 14:56:24.222956,6866
2020-10-07 14:56:24.342586,7287
2020-10-07 14:56:24.462943,7662
2020-10-07 14:56:24.584808,8323
2020-10-07 14:56:24.702366,9021
2020-10-07 14:56:24.822965,9777
2020-10-07 14:56:24.949134,10507
2020-10-07 14:56:25.065951,11433
2020-10-07 14:56:25.186079,12513
2020-10-07 14:56:25.305922,12589
2020-10-07 14:56:25.424286,12664
2020-10-07 14:56:25.546229,12741
2020-10-07 14:56:25.665637,12816
2020-10-07 14:56:25.786082,12883
2020-10-07 14:56:25.906900,12939
2020-10-07 14:56:26.027683,12994
2020-10-07 14:56:26.149476,13063
2020-10-07 14:56:26.270575,13111
2020-10-07 14:56:26.388131,12813
2020-10-07 14:56:26.509341,12650
2020-10-07 14:56:26.632671,12403
2020-10-07 14:56:26.752494,12252
2020-10-07 14:56:26.873472,12108
2020-10-07 14:56:26.996427,11960
2020-10-07 14:56:27.116484,11699
2020-10-07 14:56:27.237543,11452
2020-10-07 14:56:27.357397,11208
2020-10-07 14:56:27.478181,10984
2020-10-07 14:56:27.598295,10787
2020-10-07 14:56:27.717697,10329
2020-10-07 14:56:27.838530,9474
2020-10-07 14:56:27.958084,8902
2020-10-07 14:56:28.077788,6820
2020-10-07 14:56:28.198246,4931
2020-10-07 14:56:28.321621,4543
2020-10-07 14:56:28.441952,9230
2020-10-07 14:56:28.559723,9257
2020-10-07 14:56:28.678761,9303
2020-10-07 14:56:28.798798,9340
2020-10-07 14:56:28.918678,9352
2020-10-07 14:56:29.037530,9378
